station number,station name,arrival time,departure time,departure prep duration(sec),distance to next station(meters), travel time to next station(sec)
sta0,Omiya,16:37:50,16:38:00,10,1100,135
sta1,Saitama-Shintoshin,16:40:15,16:41:00,20,1600,80
sta2,Yono,16:42:20,16:43:00,20,1100,95
sta3,Kita-Urawa,16:44:35,16:45:00,25,1800,120
sta4,Urawa,16:47:00,16:48:00,30,1700,80
sta5,Minami-Urawa,16:49:20,16:50:30,60,2800,180
sta6,Warabi,16:53:30,16:54:00,25,1900,115
sta7,Nishi-Kawaguchi,16:55:55,16:56:20,20,2000,125
sta8,Kawaguchi,16:58:25,16:59:00,25,0,0

